i,info
1,10250.21
2,8943.2
3,5107.37
4,6818.66
5,6083.88
6,8310.93
7,7642.33
8,5295.89
9,5268.91
10,4952.52
11,1320.22
12,7620.36
13,12461.98
14,10902.68
15,5121.68
16,5177.94
17,5160.44
18,431.56
19,817.27
20,2041.52
21,113.47
22,1399.64
23,243.88
24,452.31
25,145.26
26,36.34
27,94.4
28,90.64
29,70.1
30,35.6
31,149.01
32,93.07
33,314.9
34,243.13
35,363.71
36,127.29
37,95
38,32.1
39,122.06
40,75.67
41,107.01
42,78.86
43,83.19
44,224
45,55.82
46,109.5
47,975.53
48,205.93
49,132.12
50,235.45
51,11695.47
52,8932.7
53,9074.63
54,9840.15
