期間,info,墊付家數,墊付人數,應墊付金額（元）,已墊付金額（元）
76,1,1,166,1417776,1411476
77,3,2,254,5911829,5904649
78,3,3,333,6199804,6180704
79,3,3,897,13049836,13049836
80,3,3,205,4136161,4136161
81,1,1,59,597526,597526
82,1,1,36,444080,444080
83,4,2,328,3560564,3560564
84,8,7,503,14207462,14207462
85,5,4,1561,86419241,86398921
86,18,17,1422,124828187,124828187
87,18,16,1178,34531176,34531176
88,34,22,1790,113623526,113623526
89,49,43,3010,213286578,213286578
90,70,54,3363,287154972,287136509
91,140,112,6340,461855919,461855919
92,122,87,5260,332624761,332580787
93,85,53,1803,132087675,132112127
94,63,49,2695,215064843,215064843
95,110,82,3523,290515060,290515060
96,167,132,3652,303318685,303318685
97,226,145,5077,280437986,280437986
98,306,202,5735,541026400,541008884
99,205,123,1682,116305931,116232200
100,171,92,1020,66261818,66234605
101,187,108,1824,191253357,191253357
102,209,95,1936,149584156,149584156
103,196,108,1141,-,71326615
104,192,89,1040,-,73306025
