size,text
58,食品
45,核災
44,總統
40,表示
36,日本
35,台北
34,台灣
33,公聽會
33,民進黨
33,民黨
30,國民黨
30,政府
28,立委
26,立法
25,委員
24,核災食品
24,立法院
22,日本核災
22,蔡英文
22,退將
22,黨立
21,委員會
21,輸台
20,中央
20,區食品
20,針對
19,報導
19,行政
18,中國
18,北市
18,提案
18,政院
18,進口
18,開放
18,食品輸
18,黨團
17,今天
17,出席
17,宋楚瑜
17,林全
17,沒有
17,災區
17,記者
17,食品輸台
16,主席
16,川普
16,核災區食品
16,馬英九
15,品進
15,國防
15,縣市
15,行政院
15,退役
15,黨立委
14,大陸
14,會議
14,食品進
13,國民黨立
13,經濟
13,舉辦
13,認為
13,議員
13,食品進口
12,媒體
12,時報
12,雲林
11,不過
11,參加
11,台北報導
11,台北市
11,國防部
11,日前
11,日本核災區食品
11,民眾
11,活動
11,番仔
11,立院
11,退役將
11,開放日
10,APEC
10,區食品進口
10,引發
10,政策
10,柯文哲
10,美國
10,要求
10,退役將領
9,中共
9,中央社記者
9,修正
9,合作
9,垃圾
9,執政
9,外交
9,對此
9,政府擬
9,日電
9,昨天
9,未來
9,核災食品輸台
9,議會
9,資政
9,通過
9,邱議瑩
9,開放日本
8,newtalk
8,休二日
8,力量
8,反對
8,報告
8,安全
8,宜蘭
8,市長
8,指出
8,新頭殼
8,日本核災食品
8,核災區食品進口
8,桃園
8,民進黨立
8,爭議
8,總統蔡英文
8,衝突
8,質疑
8,這些
8,院長
8,陳瑩
7,一例一休
7,中國時報
7,中華
7,勞動部
7,勞工
7,包括
7,協商
7,受訪
7,國安
7,國歌
7,國民黨立委
7,地方
7,孫中山
7,市議
7,擬開放
7,日本核災區食品進
7,本核災區食品進口
7,東協
7,民進黨立委
7,演講
7,現在
7,總統府
7,蔡英文總統
7,藍綠
7,行政院長林全
7,解禁
7,詐欺
7,辦公
7,部長
7,院黨團
6,不要
6,交部
6,代燒
6,休息
6,修法
6,做好
6,傳出
6,共和
6,刑法
6,前往
6,前總統
6,匪夷所思
6,取消
6,國人
6,國總統
6,在立
6,場公聽會
6,對於
6,工作
6,徹查
6,抗議
6,政府擬開放
6,星洲
6,會今
6,歧視
6,民調
6,洪秀柱
6,海外
6,相關
6,福島
6,紀念孫中山
6,習近平
6,臉書
6,調查
6,辦公室
6,進行
6,長李
6,開放日本核災
6,關係
6,韓國瑜
6,食品解禁
6,黑衣人
6,黨主席
5,uber
5,亞太經
5,今年
5,代表
5,公布
5,前總統馬英九
5,加重詐欺罪
5,勞基法
5,原則
5,名單
5,國國
5,國民黨團
5,在立法院
5,在臉書
5,場次
5,外交部
5,外犯
5,夥伴
5,委會
5,官式活動
5,宣布
5,富邦
5,對日本
5,小英
5,工商時報
5,已經
5,市議員
5,接受
5,擬開放日
5,日上午
5,日公
5,日在
5,日核
5,日表示
5,時代力量
5,時間
5,書記
5,會場
5,有黑
5,李大維
5,條例
5,民進黨執政
5,民黨主席
5,法的
5,準備
5,特使
5,率團
5,環委員會
5,當選
5,發生
5,的國
5,砍假
5,禁止
5,等人
5,經濟合作
5,缺電
5,老舊住宅
5,蔡政府
5,訪問
5,評估
5,誕辰
5,議題
5,譴責
5,輸台公聽會
5,週休二日
5,除了
5,雲林縣
5,領袖會議
4,一事
4,一帶一路
4,七天
4,三讀
4,不斷
4,不滿
4,也將
4,事長
4,亞太經濟合作會議
4,人民
4,休息日
4,備詢
4,公司
4,公聽會場次
4,公開
4,共和黨
4,共識
4,加強
4,北市議員
4,北市長
4,北農
4,區食品輸
4,南向
4,取消退
4,召開
4,召集
4,台灣前
4,各地
4,吳斯懷
4,員陳
4,單位
4,國安局
4,國家
4,國會
4,國民黨立法院黨團
4,國軍
4,國防委員會
4,執政縣市
4,大會
4,天在
4,委員會今
4,孫中山誕辰
4,宜蘭縣
4,專機
4,專訪
4,對台
4,對日本核災
4,崔慈悌
4,市場
4,市府
4,市長柯文哲
4,廖國棟
4,張志軍
4,強調
4,必要
4,必須
4,我國
4,批評
4,推動
4,提案要
4,擔任
4,擬開放日本
4,政務
4,政府擬開放日
4,政部
4,施壓
4,日本福島
4,日本食品
4,日核災
4,是否
4,會主
4,有沒有
4,核災地區食品
4,核食
4,根本
4,欲加之罪
4,民進黨團
4,民進黨政府
4,法修
4,法案
4,法處罰
4,燒垃圾
4,特使宋楚瑜
4,犯罪
4,王世堅
4,發言
4,白宮幕僚長
4,的退
4,研究
4,立場
4,絕食
4,經濟領袖會議
4,總統府資政
4,美國總統
4,考慮
4,自治條例
4,落實
4,蒲博思
4,蘇治芬
4,衛環委員會
4,記者會
4,訪時
4,資政名單
4,赴中
4,赴陸
4,超過
4,軍退
4,農委會
4,退休
4,退將赴
4,這些退
4,部門
4,開始
4,院外
4,領導人
4,食品安全
4,食品輸台公聽會
4,首長
4,馬來西亞
4,黃國昌
4,黑衣人鬧場
3,一定
3,不是
3,不會
3,中共官
3,中國國
3,中國大陸
3,中央社記者劉冠廷
3,中華民國
3,也不
3,也可
3,交通
3,人在
3,今天表示
3,他們
